mol_idx seed conf_idx aff
315 2022 76 -9.21725
316 2024 12 -7.815
317 2025 3 -7.324
318 2021 1 -7.999
319 2021 10 -7.36975
31 2021 3 -7.131
320 2021 2 -7.615
321 2024 8 -8.52825
322 2021 3 -7.6605
323 2023 49 -7.701
324 2023 96 -8.68075
325 2021 13 -7.17425
326 2021 20 -8.387500000000001
327 2021 1 -8.233
328 2021 2 -7.66325
329 2021 1 -7.43525
32 2021 1 -7.27575
330 2021 84 -8.05225
331 2021 28 -8.74475
332 2021 2 -7.69425
333 2024 5 -7.1255
334 2021 1 -7.0965
335 2021 12 -7.7212499999999995
336 2021 1 -8.2015
337 2021 1 -8.192
338 2021 3 -7.11225
339 2021 2 -6.9285
33 2021 1 -7.22025
340 2021 28 -7.64075
341 2025 2 -8.37125
342 2021 15 -7.21275
343 2022 7 -9.663250000000001
344 2021 27 -8.42025
345 2021 2 -7.3725000000000005
346 2021 2 -7.28675
347 2021 13 -8.1525
348 2021 12 -9.307500000000001
349 2021 21 -8.70975
34 2021 2 -7.16075
350 2021 33 -8.836
351 2022 6 -9.29875
352 2021 4 -7.685499999999999
353 2021 2 -8.28375
354 2021 0 -7.6610000000000005
355 2021 1 -7.95325
356 2021 10 -7.481999999999999
357 2024 19 -8.70475
358 2022 7 -9.2675
359 2021 74 -7.3155
35 2021 3 -7.18375
360 2021 2 -8.639
361 2021 0 -7.2612499999999995
362 2022 46 -9.470749999999999
363 2021 25 -8.775
364 2021 22 -9.09375
365 2021 3 -7.34025
366 2022 18 -7.02925
367 2021 1 -7.95675
368 2021 24 -8.64725
369 2023 85 -9.457
36 2021 2 -7.5142500000000005
370 2022 20 -9.7895
371 2021 0 -8.387
372 2024 84 -7.8925
373 2024 14 -7.719250000000001
374 2024 15 -8.23875
375 2023 15 -8.26175
376 2022 17 -9.027750000000001
377 2021 64 -9.466750000000001
378 2022 11 -8.465
379 2024 45 -8.74775
37 2021 1 -7.475
380 2021 16 -7.85225
381 2024 1 -8.674
382 2021 11 -8.1815
383 2021 2 -5.82775
384 2021 13 -7.3919999999999995
385 2021 1 -8.5155
386 2021 0 -7.048
387 2024 4 -8.217
388 2021 6 -7.893
389 2021 2 -7.0264999999999995
38 2021 11 -7.7035
390 2022 48 -9.152249999999999
391 2021 5 -7.749750000000001
392 2021 36 -7.8927499999999995
393 2023 24 -8.084
394 2023 20 -8.04175
395 2021 11 -8.387500000000001
396 2021 12 -9.003
397 2021 21 -9.17075
398 2021 5 -7.78925
399 2021 1 -7.586
39 2021 0 -7.23925
3 2021 1 -7.1565
400 2023 0 -7.02
401 2021 15 -8.10125
402 2021 20 -7.8315
403 2021 7 -6.743
404 2022 50 -9.56225
405 2021 1 -5.67075
406 2021 67 -9.00475
407 2021 1 -8.10075
408 2021 23 -9.21175
409 2021 17 -8.0505
40 2021 4 -7.6665
410 2021 12 -8.6535
411 2021 1 -7.1107499999999995
412 2021 14 -8.71275
413 2021 35 -9.56225
414 2024 10 -8.51375
415 2023 8 -9.26975
416 2022 5 -8.465
417 2021 5 -8.2455
418 2021 9 -7.917
419 2021 2 -8.10225
41 2021 3 -7.07225
420 2021 47 -8.6775
421 2023 45 -9.21825
422 2025 18 -8.96075
423 2021 0 -6.58275
424 2021 3 -9.51675
425 2023 39 -8.22175
426 2021 63 -8.37175
427 2024 68 -9.346
428 2021 1 -7.9830000000000005
429 2022 17 -7.47975
42 2021 0 -7.22075
430 2022 20 -7.4105
431 2025 3 -8.66225
432 2025 9 -7.0675
433 2024 26 -9.44625
434 2021 15 -9.5415
435 2024 13 -7.8565000000000005
436 2021 9 -7.16875
437 2025 13 -7.03725
438 2021 3 -7.69825
439 2021 1 -7.8077499999999995
43 2021 0 -7.5985
440 2021 17 -8.42125
441 2024 23 -9.104
442 2021 7 -8.6205
443 2021 37 -8.45725
444 2021 3 -7.2620000000000005
445 2022 19 -8.6845
446 2021 16 -8.318999999999999
447 2022 1 -9.2335
448 2021 99 -9.457
449 2022 13 -9.42975
44 2021 2 -7.1525
450 2021 1 -7.24175
451 2023 8 -8.0415
452 2021 2 -6.9094999999999995
453 2022 14 -7.82775
454 2021 3 -7.5785
455 2021 0 -6.61375
456 2021 1 -7.631
457 2021 6 -8.91325
458 2024 12 -7.9392499999999995
459 2021 51 -8.506250000000001
45 2021 14 -7.479749999999999
460 2023 29 -8.6925
461 2021 2 -8.0465
462 2023 10 -7.756
463 2024 68 -7.1579999999999995
464 2025 19 -9.1025
465 2021 54 -9.373750000000001
466 2023 58 -8.98675
467 2024 27 -6.734
468 2021 39 -9.466750000000001
469 2021 35 -8.7285
46 2021 3 -7.49925
470 2021 10 -8.88675
471 2021 5 -7.169499999999999
472 2021 15 -7.6815
473 2025 25 -8.41525
474 2023 10 -5.572
475 2022 38 -8.983
476 2022 38 -7.16625
477 2023 70 -9.5765
478 2021 36 -8.42025
479 2022 73 -8.00225
47 2021 2 -6.95875
480 2021 3 -7.917
481 2021 38 -7.9502500000000005
482 2021 13 -6.60325
483 2021 14 -7.85425
484 2023 44 -9.216000000000001
485 2021 2 -7.214
486 2022 52 -8.24025
487 2021 47 -9.470749999999999
488 2025 45 -9.402
489 2021 7 -8.03425
48 2021 2 -7.17875
490 2021 36 -9.53075
491 2021 20 -8.465499999999999
492 2021 62 -8.495000000000001
493 2021 29 -8.77925
494 2021 87 -8.549
495 2021 2 -7.92175
496 2021 0 -7.31675
497 2023 26 -6.481249999999999
498 2021 15 -8.064
499 2023 41 -9.697750000000001
49 2021 14 -7.05575
